,FileName,Dataset,Label,y_pred0_0,y_pred0_1,y_pred1,y_pred2,y_pred3,y_pred4,y_pred5,y_pred6,y_pred0
0,mw3_0007,mw3,1,0.6572609606072974,0.34273903939270267,0.48492902517318726,0.28692999482154846,0.08017304539680481,0.14695827662944794,0.17328710854053497,0.6855154633522034,0.34273903939270267
1,mw3_0096,mw3,1,0.352234270699098,0.6477657293009018,0.9624463319778442,0.9323243498802185,0.9798856377601624,0.6608700752258301,0.6142194867134094,1.0,0.6477657293009018
2,mw3_0033,mw3,1,0.04299178962495311,0.9570082103750471,0.9980508089065552,0.9685488343238831,0.8530651926994324,0.22128009796142578,0.30219337344169617,0.9999995231628418,0.9570082103750471
3,mw3_0044,mw3,1,0.06985377520260586,0.9301462247973943,0.985842764377594,0.9990099668502808,0.9999691247940063,0.5020158886909485,0.5654935240745544,0.9432238936424255,0.9301462247973943
4,mw3_0042,mw3,1,0.020121635206128422,0.9798783647938717,0.5225109457969666,0.5039152503013611,0.45161938667297363,0.5762699246406555,0.5721799731254578,0.12789422273635864,0.9798783647938717
5,mw3_0091,mw3,1,0.024525786328096513,0.9754742136719039,0.9992758631706238,0.9967993497848511,0.9962867498397827,0.5799420475959778,0.5966383218765259,0.9999977350234985,0.9754742136719039
6,mw3_0090,mw3,1,0.5022998473752464,0.4977001526247537,0.9997267127037048,0.9703839421272278,0.9599307179450989,0.5541071891784668,0.5933787822723389,0.9998981952667236,0.4977001526247537
7,mw3_0024,mw3,1,0.03627874807848371,0.9637212519215168,0.9895578026771545,0.6582648754119873,0.754552960395813,0.40323835611343384,0.40030205249786377,0.9946511387825012,0.9637212519215168
8,mw3_0003,mw3,1,0.020121635206128422,0.9798783647938717,0.5225109457969666,0.5039152503013611,0.45161938667297363,0.5762699246406555,0.5721799731254578,0.12789422273635864,0.9798783647938717
9,mw3_0032,mw3,1,0.823922674750631,0.176077325249369,0.8374708294868469,0.38353365659713745,0.09190012514591217,0.1597205400466919,0.19161248207092285,0.5797387957572937,0.176077325249369
10,mw3_0048,mw3,1,0.21165200811323992,0.7883479918867602,0.6030460596084595,0.5632408261299133,0.5047407746315002,0.5828971266746521,0.6378953456878662,2.290484644618118e-06,0.7883479918867602
11,mw3_0013,mw3,1,0.8685209309066028,0.13147906909339746,0.9773724675178528,0.8537804484367371,0.7671114802360535,0.21608595550060272,0.2855287790298462,0.6224592924118042,0.13147906909339746
12,mw3_0009,mw3,1,0.8510551382043441,0.14894486179565608,0.036561328917741776,0.015978176146745682,0.0012993724085390568,0.1535091996192932,0.17368251085281372,2.5296485546277836e-05,0.14894486179565608
13,mw3_0049,mw3,1,0.15449095090834913,0.8455090490916511,0.7861740589141846,0.922691285610199,0.9849444031715393,0.3222675919532776,0.49522748589515686,0.9987046718597412,0.8455090490916511
14,mw3_0034,mw3,1,0.6502786739965959,0.3497213260034042,0.06252092868089676,0.6351985931396484,0.265865683555603,0.4345099925994873,0.4547802805900574,0.35699155926704407,0.3497213260034042
15,mw3_0095,mw3,1,0.5780346755076036,0.4219653244923966,0.7684486508369446,0.564755916595459,0.2618155777454376,0.4437766969203949,0.45821601152420044,0.7436000108718872,0.4219653244923966
16,mw3_0018,mw3,1,0.04547870491727056,0.9545212950827298,0.5249382257461548,0.6842477321624756,0.9858492612838745,0.25644853711128235,0.26268118619918823,0.7451907396316528,0.9545212950827298
17,mw3_0004,mw3,1,0.5584067458009602,0.4415932541990398,0.9925685524940491,0.955452561378479,0.7870626449584961,0.27414825558662415,0.2119336724281311,0.9999697208404541,0.4415932541990398
18,mw3_0037,mw3,1,0.18596529248100516,0.8140347075189952,0.9863374829292297,0.6760538220405579,0.46226024627685547,0.6145220994949341,0.6175811886787415,0.9999680519104004,0.8140347075189952
19,mw3_0094,mw3,1,0.36676639187147436,0.6332336081285256,0.06037766486406326,0.26030829548835754,0.2963526248931885,0.5897423028945923,0.4870744049549103,0.9990009665489197,0.6332336081285256
20,mw3_0012,mw3,1,0.32301536744829734,0.6769846325517027,0.9793285131454468,0.9263215065002441,0.9795345067977905,0.4049007296562195,0.5550955533981323,0.9999171495437622,0.6769846325517027
21,mw3_0036,mw3,1,0.6313201668899697,0.3686798331100303,0.9936355352401733,0.9366175532341003,0.5078943371772766,0.36988434195518494,0.24576476216316223,0.999583899974823,0.3686798331100303
22,mw3_0043,mw3,1,0.4165342251129119,0.5834657748870881,0.9430863857269287,0.9908944368362427,0.9910650849342346,0.3844245374202728,0.38116875290870667,0.9999998807907104,0.5834657748870881
23,mw3_0038,mw3,1,0.029784922055189657,0.9702150779448104,0.7376925945281982,0.948444664478302,0.9705978035926819,0.3499290943145752,0.3770310580730438,0.99973064661026,0.9702150779448104
24,mw3_0017,mw3,1,0.40523081983422016,0.59476918016578,0.12029991298913956,0.4777829945087433,0.1693830043077469,0.41154688596725464,0.35085684061050415,0.999824583530426,0.59476918016578
25,mw3_0026,mw3,1,0.10975806067656042,0.8902419393234395,0.9986635446548462,0.9937530159950256,0.9994922876358032,0.47410741448402405,0.43124598264694214,1.0,0.8902419393234395
26,mw3_0001,mw3,1,0.3325629301431318,0.6674370698568682,0.9744877815246582,0.9890030026435852,0.9954800605773926,0.4703993499279022,0.42692095041275024,0.9999964237213135,0.6674370698568682
27,mw3_0041,mw3,1,0.015141771826782804,0.9848582281732177,0.9937877655029297,0.9330371022224426,0.9918187856674194,0.39613351225852966,0.4730592370033264,0.9999915361404419,0.9848582281732177
28,mw3_0000,mw3,1,0.24404767102940192,0.7559523289705983,0.8036392331123352,0.885358989238739,0.9025323987007141,0.4699643552303314,0.5116403698921204,0.6169013977050781,0.7559523289705983
29,mw3_0035,mw3,1,0.25906899318403864,0.7409310068159616,0.9693601131439209,0.9384608864784241,0.9963945746421814,0.6102215647697449,0.6689239144325256,0.9999457597732544,0.7409310068159616
30,mw3_0028,mw3,1,0.7371087149510448,0.262891285048955,0.988455057144165,0.9182602763175964,0.9503242373466492,0.422442764043808,0.3395354747772217,0.9999923706054688,0.262891285048955
31,mw3_0030,mw3,1,0.04427962574779394,0.9557203742522061,0.9889931082725525,0.98005610704422,0.9585991501808167,0.15798419713974,0.1939968764781952,0.9709194302558899,0.9557203742522061
32,mw3_0027,mw3,1,0.46555070828683326,0.5344492917131668,0.9024404287338257,0.8360922336578369,0.9993939399719238,0.6368825435638428,0.6099987626075745,0.803411066532135,0.5344492917131668
33,mw3_0002,mw3,1,0.23645906206468903,0.7635409379353111,0.840126097202301,0.7585697770118713,0.5029507875442505,0.5501006245613098,0.4969519078731537,0.9953391551971436,0.7635409379353111
34,mw3_0019,mw3,1,0.387896220956194,0.612103779043806,0.9262519478797913,0.8596240878105164,0.9511929750442505,0.6265923380851746,0.6077396273612976,0.8543108701705933,0.612103779043806
35,mw3_0098,mw3,1,0.4789559525229293,0.5210440474770707,0.9992330074310303,0.967358410358429,0.9550102949142456,0.5324413180351257,0.5358445644378662,0.9999926090240479,0.5210440474770707
36,mw3_0039,mw3,1,0.027036188737680877,0.9729638112623195,0.9984112977981567,0.9966548681259155,0.999889612197876,0.48657676577568054,0.5157879590988159,0.9999990463256836,0.9729638112623195
37,mw3_0021,mw3,1,0.5588198490498377,0.44118015095016233,0.969779372215271,0.9775044322013855,0.9861679673194885,0.6305996775627136,0.5930763483047485,0.9999939203262329,0.44118015095016233
38,mw3_0045,mw3,1,0.11897240133058956,0.8810275986694106,0.7236700654029846,0.3502560257911682,0.17082880437374115,0.44341081380844116,0.4538388252258301,0.9952417612075806,0.8810275986694106
39,mw3_0008,mw3,1,0.6129212178629032,0.38707878213709684,0.8637750148773193,0.7685732245445251,0.9412903189659119,0.6209829449653625,0.590004563331604,0.0019798269495368004,0.38707878213709684
40,mw3_0020,mw3,1,0.020121635206128422,0.9798783647938717,0.5225109457969666,0.5039152503013611,0.45161938667297363,0.5762699246406555,0.5721799731254578,0.12789422273635864,0.9798783647938717
41,mw3_0015,mw3,1,0.3980080839114646,0.6019919160885354,0.8492533564567566,0.4464346170425415,0.5392922163009644,0.25164595246315,0.21367643773555756,0.9968096613883972,0.6019919160885354
42,mw3_0046,mw3,1,0.7486507617806987,0.2513492382193013,0.16037578880786896,0.5330619812011719,0.8917646408081055,0.41554051637649536,0.42910438776016235,0.0009755971841514111,0.2513492382193013
43,mw3_0006,mw3,1,0.44604310273066194,0.5539568972693381,0.9298843741416931,0.9896433353424072,0.9988998174667358,0.4154193699359894,0.3767898380756378,1.0,0.5539568972693381
